SerialNo,Tree.ID,Genet.Compound,Genet.2014,Geno.Hilary,Genet.SSR,Latitude,Longitude,Block,Row,Position,RowA,PosA,Dist.Edge,SNPFlag.01,SeqFlag.01,SSRFlag.01,SexMkrFlag.01,Ploidy,Hybrid.01,,PlantingDate,PlantingYear,Age.2016,Vol.2012,Vol.2015,Vol.2016,Vol.2017,Vol.2018,GrowLn.1516,GrowLn.1617,GrowLn.1718,GrowLn.1518,ExclusionFlag,ExclusionFlagCode,Comments.2015,Comments.2016,Comments.2017,Comments.2018,BknLdr.2015,BknLdr.2017,BBreakDegDay.2014,BBreakDegDay.2015,BBreakDegDay.2016,BBreakDegDay.2017,Sex.2017,Sex.2018,Sex.Genet,Sex.TOZ19,SexTOZ19.01,TOZcheck.Ramet,FlTwigs.2017,FlTwigs.2018,ALA.J2016,ALA.A2016,ALA.J2017,ALA.A2017,SLA.2014,SLA.2015,SLA.J2016,SLA.A2016,SLA.J2017,SLA.A2017,CT.2014,CT.2015,CT.J2016,CT.A2016,CT.J2017,CT.A2017,PGsum.2014,PGsum.2015,PGsum.J2016,PGsum.A2016,PGsum.J2017.JenaEQ,PGsum.A2017,Scort.2014,Scort.2015,Tcin.2014,Tcin.2015,Scin.J2016,Scort.J2016,Tcin.J2016,Tdin.J2016,Scin.A2016,Scort.A2016,Tcin.A2016,Tdin.A2016,Scin.J2017.JenaEQ,Scort.J2017.JenaEQ,Tcin.J2017.JenaEQ,Tdin.J2017.JenaEQ,Scin.A2017,Scort.A2017,Tcin.A2017,Tdin.A2017,SA.J2017,JA.J2017,JAIle.J2017,ABA.J2017,BAgluc.J2017,Cpct.J2016,Cpct.A2016,Cpct.J2017,Cpct.A2017,Npct.2014,Npct.2015,Npct.J2016,Npct.A2016,Npct.J2017,Npct.A2017,CN.2014,CN.2015,CN.J2016,CN.A2016,CN.J2017,CN.A2017,EFNMean.2014,EFNMean.2016,EFNMean.2017,Venturia.2017,LeafAreaSum.2016,LeafAreaSum.2017,DiseaseEdgePct.2016,DiseaseEdgePct.2017,ScrapHolePct.2016,ScrapHolePct.2017,DamagePct.2016,DamagePct.2017,INSECTS - multiple columns or separate file
1222,4_B_18,211,211,211,145,45.86104042,-89.56414379,4,B,18,B,18,2,1,0,1,1,2,0,0,9/9/2010,2010,6,0.0,0.9,4.3,11.6,26.4,1.54,1.00,0.82,3.36,,,,,,,,,209.0,327.4,229.5,235.1,,,,,0,,0,0,9.82,14.39,14.04,12.41,109.24,122.57,119.43,109.52,125.63,131.79,13.29,11.99,8.4,9.81,9.49,7.51,12.94,7.53,5.08,5.72,9.08,7.10,8.01,4.75,4.93,2.78,0.38,2.60,1.99,0.10,0.39,2.72,2.47,0.13,0.34,5.93,2.76,0.05,0.25,3.81,2.90,0.14,1773.58,607.67,148.76,78.65,32453.80,,47.36,,,2.02,2.28,,1.91,,,24.13,22.07,,25.33,,,0.50,0.33,0.17,16,173.64,150.35,2.70,2.12,0.89,2.83,3.59,4.96,
253,1_J_1,213,213,213,374,45.86190109,-89.56414379,1,J,1,J,1,1,1,0,1,1,2,0,0,9/9/2010,2010,6,0.3,5.9,21.1,46.4,75.0,1.28,0.79,0.48,2.55,,,,,,,,,151.0,232.6,182.9,204.7,F,F,F,,0,,4,355,10.55,9.40,12.59,12.81,127.59,128.49,129.45,128.89,138.21,144.02,14.18,14.03,7.91,6.03,14.65,10.37,9.47,8.09,7.36,9.22,7.23,4.96,5.45,4.90,4.02,3.19,0.18,3.18,3.92,0.07,0.28,4.19,4.60,0.15,0.45,4.70,2.04,0.05,0.21,2.52,2.09,0.14,1502.91,737.49,352.89,45.18,46316.45,,49.23,,,2.07,2.37,,2.33,,,24.44,20.67,,20.67,,,0.17,0.42,0.17,1,115.18,179.78,5.53,2.41,2.51,1.92,8.04,4.32,
1255,4_C_23,213,213,213,,45.86190109,-89.56414379,4,C,23,C,23,3,0,0,0,0,2,0,0,9/9/2010,2010,6,0.1,1.3,8.1,22.5,49.1,1.85,1.02,0.78,3.65,,,,,,,,,151.0,240.1,182.9,204.7,,F,F,,NA,,0,1,10.04,11.12,9.20,9.66,119.46,117.31,138.52,127.41,127.08,124.51,NA,12.39,9.08,7.97,13.15,9.32,NA,13.63,6.88,7.47,7.70,6.78,NA,7.42,NA,6.21,0.13,3.12,3.55,0.08,0.37,2.93,4.01,0.16,0.42,4.83,2.39,0.06,0.21,3.00,3.38,0.19,1829.05,527.27,243.65,42.17,56504.79,,48.38,,,NA,2.02,,1.97,,,NA,25.20,,24.71,,,0.92,0.58,0.50,16,133.95,116.37,3.53,3.77,0.87,2.52,4.40,6.29,
288,1_K_8,214,214,214,59,45.86213948,-89.56414379,1,K,8,K,8,4,1,0,1,1,2,0,0,9/9/2010,2010,6,0.8,11.9,40.9,64.7,106.0,1.23,0.46,0.49,2.18,,,,,,,,,162.7,240.1,187.9,196.9,F,F,F,,1,0,12,20,15.43,12.19,17.56,17.50,113.26,129.18,121.56,115.95,131.23,119.97,22.01,12.94,13.1,10.49,15.47,15.98,7.36,9.48,6.72,3.61,5.40,3.36,4.47,5.71,2.89,3.77,0.13,3.38,3.16,0.05,0.23,1.75,1.54,0.08,0.36,3.78,1.23,0.04,0.17,1.81,1.30,0.08,1507.42,1385.92,424.34,63.16,86131.27,,47.06,,,2.18,2.29,,2.04,,,23.16,21.58,,23.90,,,0.17,0.33,0.58,1,148.23,266.25,8.26,5.08,1.51,9.56,9.77,14.64,
549,2_F_17,214,214,214,,45.86213948,-89.56414379,2,F,17,F,17,6,0,0,0,0,2,0,0,9/9/2010,2010,6,0.4,15.1,36.9,65.3,124.4,0.90,0.57,0.64,2.11,,,,,,,,,162.7,240.1,187.9,204.7,F,F,F,,NA,,91,180,12.81,15.21,18.61,18.34,115.00,130.51,130.65,113.18,138.52,141.70,14.94,19.49,14.44,14.82,17.19,9.44,11.48,8.68,5.71,5.00,5.43,6.30,6.68,5.58,4.80,3.10,0.14,3.13,2.38,0.05,0.20,2.37,2.33,0.10,0.42,3.59,1.37,0.04,0.32,3.52,2.29,0.17,1277.02,2128.66,575.80,98.03,90205.79,,48.45,,,2.36,2.55,,2.20,,,21.37,19.33,,22.52,,,0.17,0.58,0.58,1,184.65,349.93,8.93,5.04,1.62,2.58,10.55,7.62,
918,3_E_22,214,214,214,,45.86213948,-89.56414379,3,E,22,E,22,5,0,0,0,0,2,0,0,9/9/2010,2010,6,0.4,12.8,37.0,71.4,128.3,1.06,0.66,0.59,2.30,,,,,,,,,177.5,246.0,187.9,218.1,F,F,F,,NA,,40,6,13.89,14.73,18.44,17.55,121.07,127.17,123.66,111.96,130.42,130.29,16.53,15.18,13.48,13.23,16.36,11.64,9.12,9.17,3.44,3.59,7.33,3.60,5.37,5.65,3.75,3.52,0.07,1.82,1.52,0.03,0.27,1.79,1.46,0.07,0.49,4.73,2.07,0.05,0.16,1.84,1.52,0.08,1139.16,1217.87,366.61,90.69,105910.40,,46.88,,,2.36,2.29,,2.02,,,21.04,21.53,,23.97,,,0.17,0.67,0.42,23,177.68,319.59,3.11,4.47,0.99,2.81,4.10,7.28,
1424,4_I_24,214,214,214,,45.86213948,-89.56414379,4,I,24,I,24,5,0,0,0,0,2,0,0,7/1/2012,2012,4,0.0,1.4,7.5,19.9,28.3,1.68,0.97,0.35,3.01,,,,,,,,,184.8,240.1,197.4,213.1,F,F,F,,NA,,7,3,16.26,12.29,14.37,16.75,107.14,121.46,120.98,132.10,133.55,127.64,13.00,20.59,20.17,9.15,14.54,13.19,15.25,7.49,5.45,6.06,6.72,4.06,8.61,4.62,6.64,2.87,0.15,2.96,2.26,0.08,0.35,3.16,2.35,0.20,0.48,4.52,1.67,0.05,0.19,2.25,1.52,0.10,1205.20,1292.72,287.18,99.94,79359.71,,48.64,,,2.26,1.92,,2.10,,,22.26,25.83,,23.12,,,0.17,0.17,0.75,0,148.25,337.51,1.90,3.46,0.75,2.44,2.65,5.90,
1563,4_N_23,214,214,214,,45.86213948,-89.56414379,4,N,23,N,23,1,0,0,0,0,2,0,0,9/9/2010,2010,6,0.2,7.7,24.8,45.9,84.8,1.17,0.61,0.61,2.39,,,,,,,,,177.5,246.0,187.9,213.1,F,F,F,,NA,,40,55,14.50,11.32,17.18,14.97,118.27,116.35,121.98,120.62,136.33,118.11,17.35,16.48,14.56,10.58,14.57,13.26,5.91,9.27,5.28,3.73,5.14,3.26,3.82,5.59,2.09,3.68,0.17,2.80,2.25,0.06,0.21,1.88,1.56,0.08,0.30,3.57,1.24,0.04,0.12,1.64,1.43,0.07,1391.41,1210.93,276.82,78.61,67242.28,,48.04,,,2.36,2.23,,2.08,,,21.17,22.16,,23.30,,,0.45,0.50,0.25,1,140.50,276.44,4.42,4.33,3.69,4.19,8.11,8.52,
2212,4_EB_28,214,214,214,,45.86213948,-89.56414379,4,EB,28,EB,28,0,0,0,0,0,2,0,0,7/1/2011,2011,5,0.0,2.2,9.2,24.0,55.0,1.43,0.96,0.83,3.22,,,,,,,,,177.5,246.0,207.5,213.1,,F,F,,NA,,0,4,13.23,13.33,14.58,15.79,106.35,118.33,149.00,102.45,122.38,115.50,17.65,17.05,19.38,16.15,21.85,16.55,12.66,9.65,5.18,3.39,6.23,3.27,7.18,6.04,5.48,3.61,0.13,2.72,2.26,0.06,0.21,1.59,1.50,0.08,0.52,4.23,1.44,0.05,0.17,1.80,1.22,0.08,835.60,529.82,228.03,65.60,67324.70,,48.59,,,2.26,2.35,,1.92,,,22.80,21.40,,25.87,,,NA,0.50,0.25,NA,161.80,289.45,6.63,3.40,1.83,3.32,8.46,6.71,
16,1_A_16,215,215,215,75,45.86230893,-89.56414379,1,A,16,A,16,1,1,0,1,1,2,0,0,9/9/2010,2010,6,0.3,6.3,17.9,44.6,75.3,1.04,0.91,0.52,2.48,,,,,,,,,184.8,340.8,212.8,265.8,M,,M,,1,1,7,0,12.17,7.91,12.10,11.74,120.79,152.86,152.35,124.80,164.50,156.36,19.82,13.88,11.8,14,13.20,12.33,8.02,7.34,4.17,3.47,4.48,3.25,4.69,4.72,3.33,2.62,0.15,2.11,1.87,0.03,0.27,1.59,1.56,0.06,0.42,3.26,0.78,0.02,0.23,1.77,1.20,0.05,903.69,566.12,131.26,47.44,50777.29,,48.43,,,1.97,2.19,,1.82,,,25.66,23.22,,26.29,,,0.17,0.50,0.92,1,101.26,176.35,2.35,1.14,6.81,0.95,9.16,2.09,
488,2_D_12,215,215,215,,45.86230893,-89.56414379,2,D,12,D,12,4,0,0,0,0,2,0,0,9/9/2010,2010,6,0.4,8.3,33.3,65.8,96.6,1.39,0.68,0.38,2.45,,,,,,,,,177.5,311.0,219.8,218.1,,,M,,NA,,0,0,11.21,10.55,13.46,12.84,127.13,161.10,166.46,146.58,193.56,187.70,16.97,14.92,12.19,8.63,12.16,9.03,9.76,8.74,3.64,3.28,2.82,3.64,5.48,5.43,4.28,3.31,0.16,2.15,1.31,0.03,0.32,1.77,1.14,0.04,0.30,2.19,0.32,0.02,0.25,2.07,1.26,0.06,1387.93,803.93,143.13,68.67,33530.56,,47.21,,,2.01,2.13,,2.01,,,25.17,24.07,,22.84,,,0.75,0.42,1.00,1,127.20,206.17,0.89,1.21,0.81,1.21,1.70,2.43,
823,3_B_11,215,215,215,,45.86230893,-89.56414379,3,B,11,B,11,2,0,0,0,0,2,0,0,9/9/2010,2010,6,0.0,0.6,3.4,11.6,30.6,1.80,1.22,0.97,4.00,,,,,,,,,194.2,327.4,219.8,252.7,,,M,,NA,,0,0,12.42,12.08,14.20,12.69,129.67,127.87,126.71,125.03,140.98,133.00,20.61,12.61,14.09,12.69,15.33,16.44,8.34,7.65,5.04,2.63,5.26,3.11,4.63,4.25,3.71,3.40,0.22,2.69,2.09,0.05,0.23,1.30,1.04,0.05,0.37,3.81,1.06,0.02,0.20,1.63,1.22,0.06,753.20,414.44,166.40,31.65,46262.02,,49.00,,,1.84,1.92,,1.84,,,27.27,25.75,,26.43,,,1.00,0.50,0.75,2,146.11,153.04,3.14,0.98,2.37,1.57,5.51,2.55,
1276,4_D_16,215,215,215,,45.86230893,-89.56414379,4,D,16,D,16,4,0,0,0,0,2,0,0,9/9/2010,2010,6,0.4,9.3,31.4,70.7,111.5,1.22,0.81,0.46,2.48,,,,,,,,,184.8,311.0,229.5,244.1,,,M,,NA,,0,0,12.52,11.47,13.21,11.52,132.01,127.67,143.74,135.29,172.70,171.56,19.88,21.13,9.04,11.21,12.02,10.83,5.07,3.55,5.99,2.80,5.04,2.36,3.11,2.44,1.96,1.11,0.60,3.90,1.41,0.08,0.19,1.40,1.17,0.03,0.49,3.60,0.92,0.03,0.20,1.33,0.79,0.04,949.02,911.25,133.32,66.33,46472.58,,47.08,,,1.93,2.04,,1.84,,,26.09,24.35,,25.61,,,0.50,1.00,0.75,1,138.06,151.09,1.51,1.70,1.18,10.35,2.68,12.05,
2109,2_WB_9,215,215,215,,45.86230893,-89.56414379,2,WB,9,WB,9,0,0,0,0,0,2,0,0,7/1/2011,2011,5,0.1,0.6,2.5,7.5,19.7,1.41,1.11,0.96,3.48,,,,,,,,,184.8,327.4,197.4,252.7,,,M,,NA,,0,0,14.09,8.45,10.51,12.03,120.18,129.07,143.42,114.27,135.45,118.54,20.42,17.88,19.58,11.23,12.54,9.57,8.55,5.03,3.82,2.87,4.91,4.58,5.18,3.28,3.37,1.75,0.23,2.00,1.55,0.04,0.29,1.38,1.15,0.06,0.55,3.38,0.94,0.04,0.31,2.51,1.66,0.10,1188.00,396.09,131.03,64.44,77727.98,,49.52,,,1.85,2.12,,1.65,,,27.30,24.05,,29.07,,,NA,1.17,0.42,NA,101.93,182.61,4.15,2.41,1.24,2.91,5.39,5.32,
299,1_K_19,216,216,216,,45.86264321,-89.56414379,1,K,19,K,19,4,0,0,0,0,2,0,0,9/9/2010,2010,6,0.5,10.0,29.8,54.5,88.2,1.09,0.60,0.48,2.18,,,,,,,,,157.1,282.0,187.9,213.1,M,M,M,,NA,,57,54,14.22,14.48,19.20,18.65,118.22,153.41,133.26,122.06,153.25,138.53,17.74,11.40,10.19,6.25,11.57,9.80,8.59,8.98,6.01,5.92,4.89,3.45,5.31,5.33,3.28,3.65,0.14,3.01,2.81,0.05,0.31,2.83,3.00,0.15,0.38,3.33,1.15,0.04,0.13,1.85,1.41,0.06,1078.10,597.56,89.59,50.67,98894.34,,49.29,,,2.30,2.47,,2.23,,,21.97,20.05,,22.35,,,0.33,0.00,0.58,2,175.93,245.46,3.88,3.14,1.41,2.19,5.28,5.33,
604,2_H_16,216,216,216,170,45.86264321,-89.56414379,2,H,16,H,16,7,1,0,1,1,2,0,0,9/9/2010,2010,6,0.1,4.7,15.3,36.4,72.9,1.17,0.86,0.69,2.73,,,,,,,,,157.1,293.4,187.9,188.8,M,M,M,,1,1,28,34,17.19,11.68,14.61,18.49,111.64,120.10,121.78,127.27,152.58,142.97,18.20,13.21,10.72,5.79,12.34,8.27,5.94,8.55,4.22,1.89,4.63,2.42,3.83,5.35,2.11,3.20,0.11,1.95,2.11,0.05,0.21,0.90,0.83,0.05,0.37,3.16,1.07,0.04,0.12,1.30,0.93,0.07,1267.86,823.99,225.01,42.69,59752.93,,46.66,,,2.03,2.43,,1.88,,,24.59,20.11,,25.51,,,0.42,1.42,0.00,1,141.02,441.15,4.72,4.31,1.58,5.43,6.30,9.74,
1017,3_I_9,216,216,216,,45.86264321,-89.56414379,3,I,9,I,9,6,0,0,0,0,2,0,0,9/9/2010,2010,6,0.0,3.1,12.2,27.9,55.8,1.37,0.83,0.69,2.90,,,,,,,,,177.5,299.5,207.5,213.1,,M,M,,NA,,0,1,18.15,13.64,18.21,19.77,119.23,123.10,128.65,125.52,153.17,142.23,22.37,15.17,9.55,9.82,11.56,9.20,8.79,6.45,4.04,2.23,3.51,1.43,4.94,4.18,3.85,2.27,0.14,2.14,1.72,0.05,0.20,1.21,1.04,0.07,0.39,2.37,0.71,0.05,0.11,0.78,0.49,0.05,397.42,1149.86,227.76,45.69,38296.28,,48.33,,,1.91,2.22,,1.97,,,26.24,22.01,,25.36,,,0.75,0.50,0.00,1,164.99,237.61,3.26,2.44,1.24,1.52,4.50,3.96,
85,1_D_1,217,217,217,318,45.86305407,-89.56414379,1,D,1,D,1,1,1,0,1,1,2,0,0,9/9/2010,2010,6,0.1,0.8,5.8,14.9,45.8,2.00,0.95,1.12,4.07,,,exclude - young tree?,gall right above 1.4m,,,x,,221.5,356.2,241.8,265.8,,,F,,0,,0,0,14.62,13.74,14.34,12.82,112.98,129.56,133.06,114.74,127.77,130.64,30.11,18.54,17.5,15.16,15.14,11.03,5.43,4.38,2.72,2.75,3.75,2.29,3.10,3.01,2.33,1.37,0.10,1.48,1.11,0.03,0.17,1.31,1.20,0.07,0.29,2.50,0.92,0.04,0.15,1.15,0.94,0.05,1301.21,964.46,166.32,35.19,135962.75,,49.17,,,1.71,2.30,,1.99,,,28.41,21.79,,24.76,,,0.92,0.75,0.36,1,168.19,157.36,2.47,2.39,2.52,3.43,4.99,5.82,
462,2_C_14,217,217,217,,45.86305407,-89.56414379,2,C,14,C,14,3,0,0,0,0,2,0,0,9/9/2010,2010,6,0.6,26.3,77.4,128.6,212.8,1.08,0.51,0.50,2.09,,,,,,,,,209.0,327.4,229.5,277.6,F,F,F,,NA,,1,5,14.15,13.86,15.84,18.70,146.17,141.34,142.80,136.33,176.99,167.19,16.99,16.38,11.39,12.66,10.02,9.87,5.47,3.71,2.02,1.03,2.33,1.70,3.47,2.13,2.00,1.58,0.10,1.04,0.85,0.04,0.12,0.56,0.32,0.04,0.29,1.74,0.28,0.02,0.11,0.97,0.59,0.03,445.11,1756.01,342.69,53.72,50822.03,,45.12,,,2.00,2.48,,2.24,,,24.48,19.69,,19.79,,,1.00,0.42,0.25,1,167.86,263.43,2.70,1.88,1.40,1.69,4.09,3.57,
962,3_G_10,217,217,217,,45.86305407,-89.56414379,3,G,10,G,10,7,0,0,0,0,2,0,0,9/9/2010,2010,6,1.0,28.4,81.9,145.8,239.9,1.06,0.58,0.50,2.13,,,,,,,,,209.0,327.4,229.5,265.8,F,F,F,,NA,,1,29,14.99,15.84,16.89,13.89,132.35,119.27,143.65,128.27,147.77,134.13,16.71,18.66,9.37,12.03,11.08,12.44,5.63,3.37,2.57,1.70,2.55,1.16,3.36,2.14,2.27,1.23,0.10,1.34,1.10,0.03,0.14,0.86,0.66,0.04,0.37,1.85,0.30,0.03,0.09,0.67,0.37,0.03,1323.59,1069.80,185.99,39.81,47683.69,,46.66,,,2.19,2.12,,2.04,,,22.46,23.58,,23.10,,,0.50,0.33,0.17,1,192.28,264.56,2.65,6.22,1.74,2.87,4.39,9.08,
18,1_A_18,218,218,218,404,45.86309773,-89.56414379,1,A,18,A,18,1,1,0,1,1,2,0,0,9/9/2010,2010,6,0.4,9.8,32.2,86.7,128.8,1.18,0.99,0.40,2.57,,,,,,,,,177.5,299.5,207.5,222.9,M,,M,,1,1,19,0,13.34,12.86,14.47,14.59,117.97,142.30,127.63,127.81,158.05,140.95,18.76,14.59,9.75,9.16,7.57,7.07,4.88,6.95,4.10,2.82,5.33,3.65,3.41,4.84,1.47,2.11,0.11,2.32,1.63,0.04,0.27,1.54,0.94,0.07,0.43,3.94,0.92,0.03,0.11,2.26,1.21,0.07,599.09,2545.05,411.74,63.36,53634.18,,46.99,,,2.10,2.30,,2.40,,,23.77,21.46,,19.02,,,0.33,0.17,0.00,1,156.30,206.76,3.08,3.54,1.45,2.20,4.53,5.74,
644,2_I_28,218,218,218,,45.86309773,-89.56414379,2,I,28,I,28,6,0,0,0,0,2,0,0,9/9/2010,2010,6,0.8,21.2,47.9,103.1,179.7,0.81,0.77,0.56,2.14,,,,,,,,,177.5,299.5,207.5,218.1,,,M,,NA,,0,0,13.79,13.82,16.18,16.92,133.63,131.45,129.62,137.55,165.74,166.15,13.65,15.55,10.56,5.86,9.16,6.79,6.50,5.01,3.06,1.77,5.65,3.91,4.48,3.57,2.02,1.44,0.10,1.87,1.06,0.03,0.15,0.98,0.61,0.04,0.63,3.95,1.02,0.05,0.16,2.37,1.30,0.08,577.30,1054.32,314.26,65.84,32507.85,,46.71,,,2.32,2.58,,2.50,,,21.05,18.06,,17.79,,,0.25,0.00,0.17,1,166.88,203.67,1.98,2.62,0.71,1.12,2.69,3.74,
1091,3_K_27,218,218,218,,45.86309773,-89.56414379,3,K,27,K,27,4,0,0,0,0,2,0,0,9/9/2010,2010,6,0.0,4.0,22.3,50.6,108.7,1.72,0.82,0.77,3.31,,,exclude - young tree?,,,,,,194.2,311.0,229.5,244.1,,,M,,NA,,0,0,13.19,18.50,13.86,15.72,141.55,133.36,141.93,115.55,156.97,153.49,15.10,12.54,7.98,13.94,6.27,5.86,7.11,5.86,5.26,5.24,6.34,3.69,4.85,4.08,2.26,1.78,0.13,2.97,2.13,0.04,0.30,2.53,2.32,0.10,0.44,4.69,1.17,0.04,0.21,2.17,1.24,0.07,294.77,419.72,159.79,54.45,28676.46,,48.35,,,2.32,2.43,,2.28,,,21.51,19.49,,21.15,,,0.00,0.50,0.08,1,223.47,252.28,1.87,4.52,0.84,2.73,2.71,7.25,
52,1_B_24,219,219,219,237,45.86333048,-89.56414379,1,B,24,B,24,2,1,0,1,1,2,0,0,9/9/2010,2010,6,1.0,27.8,65.2,125.3,186.0,0.85,0.65,0.40,1.90,,,,BL high up,old BL @ 7'6'',,,x,184.8,311.0,219.8,252.7,M,M,M,,1,1,3,64,12.37,13.73,15.85,17.76,137.65,155.29,146.95,134.47,166.06,164.48,18.81,17.03,14.94,9.11,12.61,8.41,2.67,3.30,1.74,0.99,1.32,2.09,1.97,2.64,0.70,0.66,0.09,1.07,0.55,0.03,0.12,0.51,0.28,0.04,0.36,0.91,0.03,0.02,0.13,1.20,0.71,0.05,907.32,1841.47,198.94,36.26,27201.68,,46.12,,,2.26,2.39,,2.11,,,21.78,20.35,,21.96,,,0.25,0.50,0.00,1,165.42,162.57,4.90,2.05,1.10,2.74,6.00,4.79,
566,2_G_6,219,219,219,,45.86333048,-89.56414379,2,G,6,G,6,7,0,0,0,0,2,0,0,9/9/2010,2010,6,0.5,26.6,60.9,111.0,187.5,0.83,0.60,0.52,1.95,,,,,,,,,184.8,327.4,229.5,265.8,M,M,M,,NA,,16,72,14.54,12.53,17.81,15.17,137.50,143.81,141.45,138.52,170.96,188.66,20.05,18.57,14.95,6.3,13.25,12.22,3.28,2.53,1.57,1.03,1.83,2.25,2.24,2.02,1.04,0.51,0.10,1.03,0.42,0.01,0.11,0.71,0.35,0.03,0.38,1.30,0.12,0.02,0.08,1.21,0.92,0.04,656.21,1001.06,120.14,58.41,13357.25,,45.36,,,2.16,2.42,,2.08,,,23.23,19.75,,22.27,,,0.00,0.17,0.25,8,150.91,185.61,3.72,3.18,0.84,3.17,4.56,6.35,
836,3_B_24,219,219,219,,45.86333048,-89.56414379,3,B,24,B,24,2,0,0,0,0,2,0,0,9/9/2010,2010,6,0.2,14.0,42.3,82.6,147.4,1.10,0.67,0.58,2.35,,,exclude - young tree?,,,,,,194.2,327.4,239.5,252.7,M,M,M,,NA,,7,20,13.61,10.42,16.00,15.41,132.84,134.48,133.09,138.55,163.44,152.53,22.00,13.04,14.31,8.15,11.51,9.35,1.64,7.44,1.06,5.70,2.15,1.41,1.22,4.84,0.42,2.60,0.20,0.57,0.23,0.07,0.30,2.63,2.91,0.21,0.30,1.66,0.17,0.02,0.12,0.86,0.39,0.04,277.93,1023.09,182.73,44.07,16491.96,,48.53,,,2.16,2.32,,2.24,,,23.32,21.00,,21.72,,,1.08,0.50,0.50,2,126.71,263.56,4.54,2.59,2.72,2.41,7.26,5.00,
105,1_D_21,220,220,220,295,45.86344239,-89.56414379,1,D,21,D,21,4,1,0,1,1,2,0,0,9/9/2010,2010,6,0.2,6.8,21.3,48.5,81.3,1.14,0.82,0.52,2.48,,,,,,,,,221.5,340.8,241.8,265.8,,,,,1,,0,0,15.99,14.12,14.85,15.31,128.35,132.95,150.90,130.63,162.48,150.15,15.66,12.89,11.07,6.71,9.17,5.18,8.97,9.73,6.44,4.06,8.01,5.63,5.35,6.12,3.62,3.61,0.20,3.53,2.64,0.07,0.32,2.09,1.54,0.11,0.52,5.44,1.98,0.06,0.25,3.07,2.16,0.15,931.75,990.60,307.02,68.26,37230.22,,47.25,,,1.95,2.12,,2.10,,,26.01,23.80,,22.95,,,0.33,0.17,0.50,1,171.16,254.01,6.98,2.14,1.43,4.71,8.41,6.86,
708,2_L_8,220,220,220,,45.86344239,-89.56414379,2,L,8,L,8,3,0,0,0,0,2,0,0,7/1/2011,2011,5,0.0,3.1,10.5,23.8,52.9,1.23,0.82,0.80,2.84,,,,,,,,,209.0,327.4,239.5,265.8,,,,,NA,,0,0,13.30,10.46,13.57,18.23,134.26,120.52,136.46,123.26,150.21,137.07,17.52,9.81,11.3,12.08,9.06,6.95,11.02,11.29,5.67,4.68,8.61,6.15,6.74,7.14,4.28,4.15,0.18,3.16,2.26,0.07,0.32,2.39,1.84,0.13,0.74,5.65,2.14,0.08,0.29,3.29,2.39,0.18,712.72,262.06,145.58,25.01,26670.44,,49.78,,,1.94,2.36,,2.16,,,26.34,20.63,,23.47,,,0.83,0.83,0.00,1,126.88,256.12,5.80,1.72,1.51,1.80,7.31,3.52,
1156,3_N_8,220,220,220,,45.86344239,-89.56414379,3,N,8,N,8,1,0,0,0,0,2,0,0,9/9/2010,2010,6,0.2,9.4,24.7,52.0,97.1,0.97,0.74,0.63,2.34,,,,,,,,,184.8,327.4,239.5,252.7,,,,,NA,,0,0,15.40,15.90,16.14,17.69,136.14,136.69,145.67,127.75,141.62,133.44,11.66,9.83,9.06,7.78,9.17,7.60,11.21,9.68,3.78,4.01,8.31,5.62,7.03,6.10,4.18,3.58,0.09,2.18,1.47,0.04,0.27,2.12,1.51,0.11,0.57,5.50,2.17,0.07,0.27,3.01,2.16,0.18,386.68,455.60,191.14,32.75,31169.30,,47.30,,,2.09,2.22,,2.03,,,24.04,21.75,,23.67,,,0.42,0.17,0.00,1,191.82,252.41,2.43,2.20,1.57,3.07,4.01,5.27,
1514,4_M_2,220,220,220,,45.86344239,-89.56414379,4,M,2,M,2,2,0,0,0,0,2,0,0,9/9/2010,2010,6,0.3,11.7,36.8,63.3,146.1,1.14,0.54,0.84,2.52,,,,,,,,,194.2,340.8,241.8,265.8,,,,,NA,,0,0,17.29,14.84,19.95,18.79,124.97,135.10,149.62,140.94,167.33,154.62,7.19,8.63,8.92,6.11,6.42,4.96,10.73,9.44,6.80,7.01,8.76,5.89,6.68,6.06,4.05,3.38,0.17,3.62,2.94,0.07,0.38,3.41,3.06,0.16,0.81,5.60,2.27,0.08,0.25,3.18,2.30,0.16,691.98,370.19,77.59,47.13,28649.25,,46.85,,,2.22,2.20,,2.07,,,22.83,21.94,,22.86,,,0.67,0.25,0.17,1,180.63,303.20,1.71,2.43,1.64,1.86,3.35,4.29,
2192,4_EB_8,220,220,220,,45.86344239,-89.56414379,4,EB,8,EB,8,0,0,0,0,0,2,0,0,7/1/2011,2011,5,0.0,2.7,11.6,31.9,70.1,1.45,1.01,0.79,3.24,,,,,,,,,209.0,327.4,241.8,252.7,,,,,NA,,0,0,10.85,12.53,16.37,16.38,114.94,126.17,131.22,118.07,132.20,131.24,16.29,14.36,13.83,7.04,14.53,8.09,8.28,10.44,5.58,5.28,8.20,6.61,5.11,6.64,3.17,3.80,0.19,3.02,2.29,0.08,0.39,2.59,2.15,0.15,0.61,5.43,2.09,0.07,0.32,3.52,2.58,0.19,785.61,823.12,339.72,37.36,38652.74,,48.26,,,2.07,2.04,,2.08,,,25.05,24.27,,23.97,,,NA,0.17,0.17,NA,152.63,298.68,4.88,1.61,1.76,2.48,6.64,4.09,
